   LOG10(FN) FN  Magnitudes: Lamda11, Lamda22 ...
   2.5785407          378.91405         0.22058156E-08
   2.5848417          384.45166         0.22688854E-08
   2.5911428          390.07020         0.23337583E-08
   2.5974438          395.77085         0.24004857E-08
   2.6037448          401.55481         0.24691206E-08
   2.6100459          407.42330         0.25397175E-08
   2.6163469          413.37756         0.26123325E-08
   2.6226479          419.41883         0.26870233E-08
   2.6289490          425.54839         0.27638490E-08
   2.6352500          431.76753         0.28428708E-08
   2.6415510          438.07756         0.29241513E-08
   2.6478520          444.47981         0.30077551E-08
   2.6541531          450.97563         0.30937486E-08
   2.6604541          457.56638         0.31822000E-08
   2.6667551          464.25344         0.32731796E-08
   2.6730562          471.03824         0.33667595E-08
   2.6793572          477.92219         0.34630140E-08
   2.6856582          484.90674         0.35620197E-08
   2.6919593          491.99337         0.36638549E-08
   2.6982603          499.18357         0.37686006E-08
   2.7045613          506.47885         0.38763400E-08
   2.7108623          513.88074         0.39871584E-08
   2.7171634          521.39081         0.41011440E-08
   2.7234644          529.01063         0.42183870E-08
   2.7297654          536.74182         0.43389807E-08
   2.7360665          544.58599         0.44630206E-08
   2.7423675          552.54480         0.45906053E-08
   2.7486685          560.61992         0.47218359E-08
   2.7549696          568.81305         0.48568166E-08
   2.7612706          577.12592         0.49956546E-08
   2.7675716          585.56028         0.51384599E-08
   2.7738726          594.11791         0.52853459E-08
   2.7801737          602.80059         0.54364292E-08
   2.7864747          611.61018         0.55918296E-08
   2.7927757          620.54850         0.57516703E-08
   2.7990768          629.61746         0.59160783E-08
   2.8053778          638.81895         0.60851839E-08
   2.8116788          648.15492         0.62591213E-08
   2.8179799          657.62733         0.64380285E-08
   2.8242809          667.23817         0.66220473E-08
   2.8305819          676.98947         0.68113239E-08
   2.8368829          686.88328         0.70060082E-08
   2.8431840          696.92168         0.72062547E-08
   2.8494850          707.10678         0.74122223E-08
   2.8557860          717.44074         0.76240743E-08
   2.8620871          727.92572         0.78419787E-08
   2.8683881          738.56393         0.80661083E-08
   2.8746891          749.35761         0.82966408E-08
   2.8809902          760.30904         0.85337592E-08
   2.8872912          771.42051         0.87776513E-08
   2.8935922          782.69437         0.90285107E-08
   2.8998932          794.13300         0.92865361E-08
   2.9061943          805.73879         0.95519322E-08
   2.9124953          817.51419         0.98249094E-08
   2.9187963          829.46169         0.10105684E-07
   2.9250974          841.58379         0.10394479E-07
   2.9313984          853.88305         0.10691523E-07
   2.9376994          866.36205         0.10997051E-07
   2.9440005          879.02343         0.11311306E-07
   2.9503015          891.86985         0.11634537E-07
   2.9566025          904.90401         0.11967000E-07
   2.9629035          918.12866         0.12308959E-07
   2.9692046          931.54657         0.12660684E-07
   2.9755056          945.16058         0.13022454E-07
   2.9818066          958.97356         0.13394556E-07
   2.9881077          972.98840         0.13777285E-07
   2.9944087          987.20806         0.14170945E-07
   3.0007097          1001.6355         0.14575846E-07
   3.0070108          1016.2739         0.14992310E-07
   3.0133118          1031.1261         0.15420667E-07
   3.0196128          1046.1954         0.15861256E-07
   3.0259138          1061.4850         0.16314427E-07
   3.0322149          1076.9979         0.16780538E-07
   3.0385159          1092.7376         0.17259958E-07
   3.0448169          1108.7074         0.17753068E-07
   3.0511180          1124.9105         0.18260258E-07
   3.0574190          1141.3504         0.18781929E-07
   3.0637200          1158.0306         0.19318496E-07
   3.0700211          1174.9545         0.19870382E-07
   3.0763221          1192.1258         0.20438025E-07
   3.0826231          1209.5480         0.21021874E-07
   3.0889241          1227.2249         0.21622392E-07
   3.0952252          1245.1600         0.22240055E-07
   3.1015262          1263.3573         0.22875351E-07
